year,annual_max_mm
1901,36.6
1902,23.3
1903,32.4
1904,21.7
1905,36.6
1906,39.2
1907,18.8
1908,25.9
1909,28.9
1910,36.3
1911,21.6
1912,38.6
1913,33.1
1914,29.8
1915,29.2
1916,21.7
1917,42.7
1918,46.2
1919,27.5
1920,33.1
1921,17.2
1922,22.1
1923,29.9
1924,26.3
1925,34.7
1926,24.4
1927,30.9
1928,27.2
1929,33.5
1930,47.5
1931,46.3
1932,38.7
1933,29.2
1934,39.3
1935,43.0
1936,42.0
1937,27.5
1938,29.4
1939,28.3
1940,30.7
1941,41.6
1942,48.3
1943,47.5
1944,39.1
1945,41.6
1946,53.6
1947,41.4
1948,50.8
1949,25.4
1950,27.3
1951,25.7
1952,66.2
1953,46.5
1954,36.0
1955,28.6
1956,30.1
1957,30.0
1958,22.9
1959,20.1
1960,56.2
1961,51.4
1962,27.1
1963,31.6
1964,41.2
1965,52.7
1966,48.2
1967,31.2
1968,26.2
1969,34.7
1970,43.6
1971,26.6
1972,25.4
1973,34.5
1974,30.3
1975,33.0
1976,25.9
1977,24.8
1978,22.0
1979,36.7
1980,27.0
1981,25.8
1982,29.8
1983,33.3
1984,37.9
1985,26.3
1986,31.7
1987,37.5
1988,25.9
1989,37.6
1990,32.2
1991,30.8
1992,41.8
1993,38.0
1994,32.2
1995,38.4
1996,20.9
1997,34.6
1998,46.3
1999,28.1
2000,28.7
2001,25.3
2002,27.2
2003,23.9
2004,40.6
2005,60.8
2006,23.8
2007,43.3
2008,36.1
2009,23.9
2010,37.0
2011,61.6
2012,30.8
2013,61.2
2014,39.2
2015,35.5
2016,34.8
2017,24.8
2018,34.7
2019,42.3
2020,32.6
2021,27.8
2022,38.2
2023,32.2
2024,62.5
2025,29.5
